signature,class_name,java_class_name,method_name,descriptor,access_flags,is_external,is_project_method,code_size,incoming_project_calls,outgoing_project_calls,outgoing_external_calls,reachable_from_manifest_entry,core_score
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$1;->invoke(Ljava/lang/Object;)Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$1;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$1,invoke,(Ljava/lang/Object;)Ljava/lang/Object;,public bridge synthetic,False,True,15,0,2,0,False,19
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$1;->invoke(Ljava/lang/Object;)Ljava/lang/Void;,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$1;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$1,invoke,(Ljava/lang/Object;)Ljava/lang/Void;,public final,False,True,11,1,1,0,False,18
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$2$$ExternalSynthetic$Condy0;->get()Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$2$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$2$$ExternalSynthetic$Condy0,get,()Ljava/lang/Object;,public static synthetic,False,True,35,3,1,0,False,15
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$2;->$jacocoInit(Ljava/lang/Object; Ljava/lang/String; Ljava/lang/Class;)[Z,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$2;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$2,$jacocoInit,(Ljava/lang/Object; Ljava/lang/String; Ljava/lang/Class;)[Z,public static synthetic,False,True,13,1,0,1,False,8
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$2;-><init>(Lkotlin/jvm/functions/Function1; Ljava/util/List;)V,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$2;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$2,<init>,(Lkotlin/jvm/functions/Function1; Ljava/util/List;)V,public constructor,False,True,18,0,1,1,False,5
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$2;->invoke(I)Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$2;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$2,invoke,(I)Ljava/lang/Object;,public final,False,True,22,1,1,2,False,20
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$2;->invoke(Ljava/lang/Object;)Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$2;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$2,invoke,(Ljava/lang/Object;)Ljava/lang/Object;,public bridge synthetic,False,True,22,0,2,1,False,20
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$3$$ExternalSynthetic$Condy0;->get()Ljava/lang/Object;,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$3$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$3$$ExternalSynthetic$Condy0,get,()Ljava/lang/Object;,public static synthetic,False,True,35,3,1,0,False,15
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$3;->$jacocoInit(Ljava/lang/Object; Ljava/lang/String; Ljava/lang/Class;)[Z,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$3;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$3,$jacocoInit,(Ljava/lang/Object; Ljava/lang/String; Ljava/lang/Class;)[Z,public static synthetic,False,True,13,1,0,1,False,8
Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$3;-><init>(Lkotlin/jvm/functions/Function1; Ljava/util/List;)V,Lcom/example/android/architecture/blueprints/todoapp/tasks/TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$3;,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$3,<init>,(Lkotlin/jvm/functions/Function1; Ljava/util/List;)V,public constructor,False,True,18,1,1,1,False,7
