class_name,java_class_name,method_count,total_code_size,incoming_project_calls,outgoing_project_calls,outgoing_external_calls
Lcom/example/android/architecture/blueprints/todoapp/R$mipmap;,com.example.android.architecture.blueprints.todoapp.R$mipmap,1,4,0,0,1
Lcom/example/android/architecture/blueprints/todoapp/R$string;,com.example.android.architecture.blueprints.todoapp.R$string,1,4,0,0,1
Lcom/example/android/architecture/blueprints/todoapp/R$style;,com.example.android.architecture.blueprints.todoapp.R$style,1,4,0,0,1
Lcom/example/android/architecture/blueprints/todoapp/R$styleable;,com.example.android.architecture.blueprints.todoapp.R$styleable,2,14,0,0,1
Lcom/example/android/architecture/blueprints/todoapp/R;,com.example.android.architecture.blueprints.todoapp.R,1,4,0,0,1
Lcom/example/android/architecture/blueprints/todoapp/TodoActivity$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.TodoActivity$$ExternalSynthetic$Condy0,1,35,3,1,0
Lcom/example/android/architecture/blueprints/todoapp/TodoActivity;,com.example.android.architecture.blueprints.todoapp.TodoActivity,4,79,1,6,3
Lcom/example/android/architecture/blueprints/todoapp/TodoActivity_GeneratedInjector;,com.example.android.architecture.blueprints.todoapp.TodoActivity_GeneratedInjector,1,0,1,0,0
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.TodoApplication$$ExternalSynthetic$Condy0,1,35,3,1,0
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication;,com.example.android.architecture.blueprints.todoapp.TodoApplication,4,80,1,5,3
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_ComponentTreeDeps$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.TodoApplication_ComponentTreeDeps$$ExternalSynthetic$Condy0,1,35,1,1,0
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_ComponentTreeDeps;,com.example.android.architecture.blueprints.todoapp.TodoApplication_ComponentTreeDeps,2,27,1,1,2
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_GeneratedInjector;,com.example.android.architecture.blueprints.todoapp.TodoApplication_GeneratedInjector,1,0,1,0,0
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$$ExternalSynthetic$Condy0,1,35,1,1,0
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$ActivityC$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ActivityC$$ExternalSynthetic$Condy0,1,35,1,1,0
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$ActivityC;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ActivityC,2,27,2,1,2
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$ActivityCBuilderModule;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ActivityCBuilderModule,1,0,0,0,0
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$ActivityRetainedC$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ActivityRetainedC$$ExternalSynthetic$Condy0,1,35,1,1,0
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$ActivityRetainedC;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ActivityRetainedC,2,27,2,1,2
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$ActivityRetainedCBuilderModule;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ActivityRetainedCBuilderModule,1,0,0,0,0
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$FragmentC$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$FragmentC$$ExternalSynthetic$Condy0,1,35,1,1,0
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$FragmentC;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$FragmentC,2,27,2,1,2
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$FragmentCBuilderModule;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$FragmentCBuilderModule,1,0,0,0,0
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$ServiceC$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ServiceC$$ExternalSynthetic$Condy0,1,35,1,1,0
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$ServiceC;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ServiceC,2,27,2,1,2
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$ServiceCBuilderModule;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ServiceCBuilderModule,1,0,0,0,0
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$SingletonC$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$SingletonC$$ExternalSynthetic$Condy0,1,35,1,1,0
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$SingletonC;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$SingletonC,2,27,2,1,2
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$ViewC$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ViewC$$ExternalSynthetic$Condy0,1,35,1,1,0
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$ViewC;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ViewC,2,27,2,1,2
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$ViewCBuilderModule;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ViewCBuilderModule,1,0,0,0,0
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$ViewModelC$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ViewModelC$$ExternalSynthetic$Condy0,1,35,1,1,0
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$ViewModelC;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ViewModelC,2,27,2,1,2
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$ViewModelCBuilderModule;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ViewModelCBuilderModule,1,0,0,0,0
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$ViewWithFragmentC$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ViewWithFragmentC$$ExternalSynthetic$Condy0,1,35,1,1,0
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$ViewWithFragmentC;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ViewWithFragmentC,2,27,2,1,2
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents$ViewWithFragmentCBuilderModule;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ViewWithFragmentCBuilderModule,1,0,0,0,0
Lcom/example/android/architecture/blueprints/todoapp/TodoApplication_HiltComponents;,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents,2,27,1,1,2
Lcom/example/android/architecture/blueprints/todoapp/TodoDestinations$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.TodoDestinations$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/TodoDestinations;,com.example.android.architecture.blueprints.todoapp.TodoDestinations,3,44,2,3,2
Lcom/example/android/architecture/blueprints/todoapp/TodoDestinationsArgs$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.TodoDestinationsArgs$$ExternalSynthetic$Condy0,1,35,2,1,0
Lcom/example/android/architecture/blueprints/todoapp/TodoDestinationsArgs;,com.example.android.architecture.blueprints.todoapp.TodoDestinationsArgs,3,44,2,3,2
Lcom/example/android/architecture/blueprints/todoapp/TodoListManager$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.TodoListManager$$ExternalSynthetic$Condy0,1,35,9,1,0
Lcom/example/android/architecture/blueprints/todoapp/TodoListManager;,com.example.android.architecture.blueprints.todoapp.TodoListManager,10,283,1,9,17
Lcom/example/android/architecture/blueprints/todoapp/TodoNavGraphKt$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt$$ExternalSynthetic$Condy0,1,35,7,1,0
Lcom/example/android/architecture/blueprints/todoapp/TodoNavGraphKt$$ExternalSyntheticLambda1;,com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt$$ExternalSyntheticLambda1,2,32,1,1,1
Lcom/example/android/architecture/blueprints/todoapp/TodoNavGraphKt$$ExternalSyntheticLambda2;,com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt$$ExternalSyntheticLambda2,2,50,1,1,2
Lcom/example/android/architecture/blueprints/todoapp/TodoNavGraphKt$$ExternalSyntheticLambda3;,com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt$$ExternalSyntheticLambda3,2,11,1,1,1
Lcom/example/android/architecture/blueprints/todoapp/TodoNavGraphKt$$ExternalSyntheticLambda4;,com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt$$ExternalSyntheticLambda4,2,11,1,1,1
Lcom/example/android/architecture/blueprints/todoapp/TodoNavGraphKt$$ExternalSyntheticLambda5;,com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt$$ExternalSyntheticLambda5,2,11,1,1,1
Lcom/example/android/architecture/blueprints/todoapp/TodoNavGraphKt$TodoNavGraph$2$1$2$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt$TodoNavGraph$2$1$2$$ExternalSynthetic$Condy0,1,35,3,1,0
Lcom/example/android/architecture/blueprints/todoapp/TodoNavGraphKt$TodoNavGraph$2$1$2$1$$ExternalSynthetic$Condy0;,com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt$TodoNavGraph$2$1$2$1$$ExternalSynthetic$Condy0,1,35,7,1,0
Lcom/example/android/architecture/blueprints/todoapp/TodoNavGraphKt$TodoNavGraph$2$1$2$1$$ExternalSyntheticLambda1;,com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt$TodoNavGraph$2$1$2$1$$ExternalSyntheticLambda1,2,13,1,1,1
