caller,callee,call_count
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel$special$$inlined$map$1$2$$ExternalSynthetic$Condy0->$init(): void,2
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel$special$$inlined$map$1$2$1$$ExternalSynthetic$Condy0->$init(): void,2
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel$special$$inlined$map$2$$ExternalSynthetic$Condy0->$init(): void,2
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModel_HiltModules_KeyModule_Provide_LazyMapKey$$ExternalSynthetic$Condy0->$init(): void,2
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$$ExternalSynthetic$Condy0->$init(): void,2
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-1$1$$ExternalSynthetic$Condy0->$init(): void,2
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-12$1$$ExternalSynthetic$Condy0->$init(): void,2
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-13$1$$ExternalSynthetic$Condy0->$init(): void,2
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-17$1$$ExternalSynthetic$Condy0->$init(): void,2
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-21$1$$ExternalSynthetic$Condy0->$init(): void,2
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-3$1$$ExternalSynthetic$Condy0->$init(): void,2
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-6$1$$ExternalSynthetic$Condy0->$init(): void,2
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-9$1$$ExternalSynthetic$Condy0->$init(): void,2
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.util.CoroutinesUtilsKt$$ExternalSynthetic$Condy0->$init(): void,2
ROOT::FrameworkOrAsyncEntry,com.example.android.architecture.blueprints.todoapp.util.TodoDrawerKt$$ExternalSynthetic$Condy0->$init(): void,2
