method_id,class_name,method_name,call_count
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$1$$ExternalSynthetic$Condy0,$init,10
com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$5$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.data.source.local.TaskDao_Impl$5$$ExternalSynthetic$Condy0,$init,8
com.example.android.architecture.blueprints.todoapp.di.DatabaseModule_ProvideDataBaseFactory$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.di.DatabaseModule_ProvideDataBaseFactory$$ExternalSynthetic$Condy0,$init,8
com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-10$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.ComposableSingletons$TasksScreenKt$lambda-10$1$$ExternalSynthetic$Condy0,$init,8
com.example.android.architecture.blueprints.todoapp.Hilt_TodoActivity$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.Hilt_TodoActivity$$ExternalSynthetic$Condy0,$init,6
com.example.android.architecture.blueprints.todoapp.Hilt_TodoActivity$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.Hilt_TodoActivity$1$$ExternalSynthetic$Condy0,$init,6
com.example.android.architecture.blueprints.todoapp.statistics.StatisticsViewModel_HiltModules_BindsModule_Binds_LazyMapKey$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.statistics.StatisticsViewModel_HiltModules_BindsModule_Binds_LazyMapKey$$ExternalSynthetic$Condy0,$init,6
com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-22$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-22$1$$ExternalSynthetic$Condy0,$init,6
com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-23$1$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.util.ComposableSingletons$TopAppBarsKt$lambda-23$1$$ExternalSynthetic$Condy0,$init,6
com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ActivityC$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.TodoApplication_HiltComponents$ActivityC$$ExternalSynthetic$Condy0,$init,4
com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt$TodoNavGraph$2$1$6$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.TodoNavGraphKt$TodoNavGraph$2$1$6$$ExternalSynthetic$Condy0,$init,4
com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskViewModel_HiltModules_BindsModule_Binds_LazyMapKey$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskViewModel_HiltModules_BindsModule_Binds_LazyMapKey$$ExternalSynthetic$Condy0,$init,4
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$4$$ExternalSynthetic$Condy0->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt$TasksContent$2$invoke$lambda$4$lambda$3$lambda$2$$inlined$items$default$4$$ExternalSynthetic$Condy0,$init,4
com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt->$init(): void,com.example.android.architecture.blueprints.todoapp.tasks.TasksScreenKt,$init,4
